commentedBy,commentMessage,upvotes,commentDate
Jakukyo Friel,"Hi, I'd like to translate this awesome tutorial to Chinese. Can you give me the permission? The translated text will be published at ai.jqr.com and related Chinese social network accounts. Thanks.",2,21/09/2018 02:40 PM
Tern Poh Lim, ,2,02/10/2018 01:07 PM
Anthony Reinness,"Hello Ahmed,",1,14/06/2019 10:20 PM
