commentedBy,commentMessage,upvotes,commentDate
Habib Rehman,its realy great and informative article. ,6,04/03/2018 07:29 PM
Andreas Hochrein,"Thank you, great overview of resources for people that are interested in this field.",1,09/10/2018 10:23 PM
Rajeev Sharma,"Great list of data science learning. I think if one really needs to learn data science and make a good carrier in that, they can get a lot of wonderful resources online. It was some really great information to know about.  I would like to see more information on this. Thanks for sharing!",1,18/02/2019 09:34 AM
James Austin,Very helpful and informative. This what I was looking for learning Python. Hope  they are going to make  my learning super easy.,1,01/06/2019 07:56 PM
