commentedBy,commentMessage,upvotes,commentDate
Gabriel Simas,Lol,2,27/02/2018 10:27 PM
Samsun Rock,"A everyone is looking for a mind freshener after the work, guys there you have to get a  Free freecell game for releasing your stress. this is my favorite place to go enjoying in my free moment, so please keep sharing this link in your friend circle.",1,31/01/2019 01:40 PM
Aman Sarviya,"Hello @Karlijn Willem

 These are really funny Data Science cartoon. when you get something funny in the field in which you are working is really feel nice.  Also these cartoons are showing the reality of Data Science.",1,27/05/2019 10:23 AM
