commentedBy,commentMessage,upvotes,commentDate
Dudi Lerech,Thanks it was very helpful ,3,05/04/2018 06:08 PM
Muhammad Taqi Hassan,"MultiIndex(levels=[['2017-01-01', '2017-01-02', '2017-01-03'], ['python', 'r']],           labels=[[0, 1, 2, 0, 1, 2], [0, 0, 0, 1, 1, 1]],           names=['date', 'language'])

Please explain what these labels ""labels=[[0, 1, 2, 0, 1, 2], [0, 0, 0, 1, 1, 1]],"" means, how it is mapped to original data set? and what it represent? 


",3,28/08/2018 09:54 PM
Soraya Raquel Ruiz Espinoza," Excuse me, Is there a way to use .loc in a multindex but only with one parameter not tuple? For example  df.loc[('2017-01-02',)]  but get the result for 'r' and 'python' ?",6,17/10/2018 02:26 PM
"Pushkar .,",pd.reset_index was very helpful with group by operations.....thx for the article,1,19/01/2019 01:10 PM
praveen Talluri,"I tried  df.resert_index() on multi index of dataframe..but it didnt work.Its not changing the multi index columns

Before applying function

MultiIndex(levels=[['Non-Perishable', 'Perishable'], ['1 Ltr Lichi Squash', 'Amul Butter', 'Amul Butter 1 KG', 'Belt 36 Inch', 'Bucket 20 Ltr', 'Car Wax - 1 ltr', 'Chicken 2 KG Pack', 'Coca Cola 2 Ltr', 'Cottage Cheese Pack 1 KG', 'Dinshaws 1 Ltr Ice Cream', 'Dinshaws 2 Litre Milk', 'Domestos 5 ltr', 'Haldiram Snack 200 Gms', 'Handbag Laced', 'Mango Juice 2 Ltr', 'Mushroom 250 gm Pack', 'Non-Stick Frying Pan', 'Onion 5 Kg Pack', 'Pepsi 2 Ltr', 'Potato 5 Kg Pack', 'Sasa Washing Soap - 2 Pack', 'Scrubber 1 pack', 'Singh's Ham 50 gms', 'Sunflower Oil 5 Ltr', 'Venky's Chicken Sausage', 'Vijay Cheese']],

           codes=[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [3, 4, 5, 11, 13, 16, 20, 21, 0, 1, 2, 6, 7, 8, 9, 10, 12, 14, 15, 17, 18, 19, 22, 23, 24, 25]],

           names=['Type', 'Product'])

and i tried with new_index, which is list of number from 0 to rwo count of dataframe.

df.set_index([pd.Index(new_index)], inplace=True).

then the initial index are removed from the dataframe.

I want some function to convert the multiindex columns formed by  groupby function to normal columns, and create new index , as in default index type(0,1,2..)

my dataframe is like this:

                                           Units

Type           Product                          

Non-Perishable Belt 36 Inch                    1

               Bucket 20 Ltr                   4

               Car Wax - 1 ltr                 2

               Domestos 5 ltr                  2

               Handbag Laced                   2

               Non-Stick Frying Pan            5

               Sasa Washing Soap - 2 Pack      2

               Scrubber 1 pack                 4

Perishable     1 Ltr Lichi Squash              2

               Amul Butter                     2

               Amul Butter 1 KG                3

               Chicken 2 KG Pack               2

               Coca Cola 2 Ltr                 2

               Cottage Cheese Pack 1 KG        3

               Dinshaws 1 Ltr Ice Cream        4

               Dinshaws 2 Litre Milk           2

               Haldiram Snack 200 Gms          2

               Mango Juice 2 Ltr               3

               Mushroom 250 gm Pack            5

               Onion 5 Kg Pack                 5

               Pepsi 2 Ltr                     2

               Potato 5 Kg Pack                5

               Singh's Ham 50 gms              2

               Sunflower Oil 5 Ltr             3

               Venky's Chicken Sausage         3

               Vijay Cheese                    2",1,09/06/2019 01:24 PM
